SYMBOL,PREDECTION,MAX_GREEN,MAX_RED,SMA
BAYERCROP,GREEN,3,2,4098.28
BBL,GREEN,3,2,863.71
BBTC,GREEN,4,1,550.14
BEARDSELL,RED,2,3,379.79
BEDMUTHA,RED,3,2,24.07
BEL,RED,1,4,1514.98
BEML,RED,1,4,1192.42
BEPL,RED,0,5,24.81
BERGEPAINT,RED,0,5,213.97
BFINVEST,RED,1,4,153.85
BFUTILITIE,RED,0,5,388.18
BGLOBAL,NEAUTRAL,0,0,15.59
BGRENERGY,GREEN,3,2,136.79
BHAGERIA,RED,1,4,349.45
BHAGYNAGAR,GREEN,2,3,19.89
BHARATFORG,RED,1,3,939.72
BHARATGEAR,RED,2,3,110.79
BHARATIDIL,RED,3,2,16.07
BHARATRAS,RED,2,3,1887.2
BHARATWIRE,RED,4,1,83.18
BHARTIARTL,RED,1,4,317.66
BHEL,RED,1,4,130
BHUSANSTL,RED,1,4,43.18
BIL,GREEN,3,2,500.55
BILENERGY,NEAUTRAL,0,0,0.15
BILPOWER,GREEN,2,0,0.96
BINANIIND,GREEN,3,2,76.67
BINDALAGRO,GREEN,4,1,28.61
BIOCON,RED,2,3,994.78
BIRLACORPN,RED,3,2,693.28
BIRLACOT,NEAUTRAL,2,0,0.1
BIRLAERIC,null,0,0,0
BIRLAMONEY,GREEN,2,3,27.32
BLBLIMITED,NEAUTRAL,1,2,6.3
BLISSGVS,RED,3,2,151.83
BLKASHYAP,RED,2,3,21.41
BLUEBLENDS,GREEN,2,3,50.74
BLUECHIP,GREEN,4,0,0.43
BLUEDART,NEAUTRAL,0,5,4455.29
BLUEDART,NEAUTRAL,0,5,4455.29
BLUEDART,NEAUTRAL,0,5,4455.29
BLUEDART,NEAUTRAL,0,5,4455.29
BLUESTARCO,RED,3,2,520.23
BLUESTINFO,null,0,0,0
BODALCHEM,RED,0,4,134.05
BOMDYEING,RED,2,3,54.66
BOSCHLTD,RED,2,3,21302.18
BPCL,RED,2,3,664.01
BPL,RED,2,3,71.31
BRFL,GREEN,4,1,150.07
BRIGADE,GREEN,2,3,155.34
BRITANNIA,RED,4,1,3023.76
BROOKS,GREEN,2,3,142.38
BSELINFRA,GREEN,1,2,4.15
BSL,RED,0,5,79.82
BSLGOLDETF,GREEN,3,2,2786.7
BSLIMITED,NEAUTRAL,1,0,2.38
BURNPUR,GREEN,4,0,12.42
BUTTERFLY,GREEN,1,4,197.53
BVCL,NEAUTRAL,1,2,24.73
BYKE,RED,0,5,168.26
CADILAHC,RED,4,1,353.5
CAIRN,RED,3,2,266.83
CAMLINFINE,RED,2,3,113.61
CANBK,GREEN,4,1,282.71
CANDC,RED,1,3,17.4
CANFINHOME,RED,1,4,1706.48
CANTABIL,RED,2,3,65.47
CAPF,RED,1,4,612.82
CAPLIPOINT,GREEN,3,2,407.41
CARBORUNIV,RED,0,5,253.69
CAREERP,GREEN,3,2,118.22
CARERATING,GREEN,5,0,1406.65
CASTEXTECH,RED,0,3,8.44
CASTROLIND,RED,2,3,398.28
CCCL,GREEN,2,1,3.91
CCHHL,GREEN,1,4,14.05
CCL,GREEN,5,0,279.59
CEATLTD,RED,2,3,1195.63
CEBBCO,RED,0,5,14.08
CELEBRITY,GREEN,2,2,11.03
CELESTIAL,GREEN,4,1,22.37
CENTENKA,RED,1,4,295.42
CENTEXT,RED,0,4,6.6
CENTRALBK,RED,1,4,83.35
CENTUM,RED,1,4,658.21
CENTURYPLY,RED,2,3,181.04
CENTURYTEX,RED,2,3,811.64
CERA,RED,0,5,2048.27
CEREBRAINT,GREEN,3,2,31.3
CESC,GREEN,3,2,683.33
CGCL,RED,1,4,56.89
CHAMBLFERT,GREEN,4,1,85.46
CHEMFALKAL,GREEN,2,3,308.14
CHENNPETRO,RED,2,3,330.06
CHOLAFIN,RED,3,2,967.78
CHROMATIC,RED,0,2,2.85
CIGNITITEC,RED,2,3,465.21
CIMMCO,NEAUTRAL,0,4,71.46
CINELINE,RED,0,5,81.3
CINEVISTA,RED,2,3,6.2
CIPLA,RED,1,4,584.12
CLNINDIA,RED,1,4,712.59
COALINDIA,RED,1,4,310.37
COFFEEDAY,RED,1,4,197.93
COLPAL,GREEN,3,2,909.26
COMPUSOFT,RED,2,3,15.7
CONCOR,RED,0,5,1194.73
CONSOFINVT,RED,2,3,57.37
CORDSCABLE,GREEN,2,2,77.86
COROMANDEL,RED,1,4,327.98
CORPBANK,GREEN,2,3,42.84
COSMOFILMS,RED,2,3,367.77
COUNCODOS,NEAUTRAL,0,2,3.91
COX&KINGS,GREEN,4,1,194.98
CPSEETF,GREEN,1,4,26.69
CREATIVEYE,NEAUTRAL,0,2,1.99
CREST,GREEN,2,3,95.7
CRISIL,RED,1,4,2159.75
CROMPGREAV,RED,1,4,64.78
CTE,GREEN,1,4,96.61
CUB,GREEN,3,2,141.68
CUMMINSIND,RED,0,5,841.12
CURATECH,null,0,0,0
CYBERMEDIA,NEAUTRAL,0,0,2.1
CYBERTECH,RED,1,3,88.54
CYIENT,GREEN,1,4,488.89
DAAWAT,GREEN,4,1,346.66
DABUR,GREEN,1,4,278.51
DALMIABHA,GREEN,3,2,1774.12
DALMIASUG,GREEN,5,0,167.58
DATAMATICS,GREEN,4,1,147.72
DBCORP,RED,1,4,360.49
DBREALTY,RED,2,3,40.86
DBSTOCKBRO,GREEN,1,3,13.42
DCBBANK,GREEN,3,2,120.01
DCM,GREEN,3,2,116.58
DCMSHRIRAM,RED,2,3,263.15
DCW,GREEN,4,1,35.59
DECCANCE,GREEN,4,1,999.81
DEEPAKFERT,GREEN,2,3,264.83
DEEPAKNTR,RED,3,2,102.47
DEEPIND,RED,2,3,297.77
DELTACORP,GREEN,2,3,133.12
DELTAMAGNT,RED,0,2,22.34
DEN,GREEN,5,0,85.73
DENABANK,RED,2,3,34.83
DENORA,GREEN,2,3,253.8
DHAMPURSUG,GREEN,3,2,169.17
DHANBANK,RED,1,4,24.5
DHANUKA,RED,2,3,764.57
DHARSUGAR,GREEN,3,2,39.77
DHFL,RED,4,20,6194.6
DHUNINV,GREEN,3,2,172.39
DIAPOWER,RED,1,3,34.94
DICIND,GREEN,2,3,497.52
DISHMAN,RED,1,4,238.58
DISHTV,GREEN,2,3,86.78
DIVISLAB,GREEN,2,3,738.81
DLF,RED,3,2,129.97
DLINKINDIA,RED,2,3,115.79
DOLPHINOFF,RED,2,3,128.13
DONEAR,RED,2,3,61.45
DPL,GREEN,3,2,80.89
DPSCLTD,RED,0,4,43.97
DQE,RED,1,3,22.93
DREDGECORP,RED,1,4,458.74
DRREDDY,RED,0,5,2965.98
DSKULKARNI,GREEN,1,4,64.95
DTIL,RED,3,2,314.38
DWARKESH,RED,2,3,399.05
DYNAMATECH,GREEN,3,2,2971.75
DYNATECH,null,0,0,0
EASTSILK,GREEN,4,1,2.99
EASUNREYRL,RED,1,4,24.88
ECEIND,NEAUTRAL,1,3,230.89
ECLERX,RED,3,2,1446.29
ECLFINANCE,RED,9,7,3603.28
ECLFINANCE,RED,9,7,3603.28
ECLFINANCE,RED,9,7,3603.28
ECLFINANCE,RED,9,7,3603.28
ECLFINANCE,RED,9,7,3603.28
EDELWEISS,GREEN,4,1,108.69
EDL,RED,2,3,55.16
EDUCOMP,NEAUTRAL,2,1,11.1
EICHERMOT,RED,1,4,22551.8
EIDPARRY,RED,0,5,279.53
EIHAHOTELS,GREEN,3,2,295.17
EIHOTEL,RED,2,3,97.49
EIMCOELECO,GREEN,4,1,379.42
EKC,RED,0,4,35.48
ELAND,RED,1,3,23.66
ELECON,GREEN,2,3,58.6
ELECTCAST,RED,2,3,27.98
ELECTHERM,GREEN,3,2,217.37
ELGIEQUIP,GREEN,4,1,192.36
ELGIRUBCO,RED,4,1,51.33
EMAMIINFRA,RED,2,3,62.11
EMAMILTD,RED,1,4,1044.53
EMCO,GREEN,3,2,29.21
EMKAY,RED,1,4,59.32
EMMBI,GREEN,2,3,139.34
ENERGYDEV,GREEN,3,2,69.9
ENGINERSIN,RED,1,4,152.9
ENIL,RED,0,5,749.99
ENTEGRA,null,0,0,0
EON,RED,2,3,62.86
EROSMEDIA,RED,1,4,178.5
ESABINDIA,RED,1,4,566.71
ESCORTS,GREEN,3,2,363.06
ESL,GREEN,4,1,5.82
ESSARSHPNG,GREEN,2,3,27.94
ESSDEE,RED,3,2,51.91
ESSELPACK,RED,3,2,248.8
ESTER,GREEN,3,1,48.93
EUROCERA,NEAUTRAL,2,2,6.68
EUROMULTI,NEAUTRAL,0,0,0.29
EUROTEXIND,GREEN,4,1,29.53
EVEREADY,GREEN,3,1,236.91
EVERESTIND,RED,3,2,215.96
EVERONN,null,0,0,0
EXCEL,RED,1,4,40.23
EXCELCROP,RED,2,3,1741.99
EXCELINDUS,RED,0,5,385.15
EXIDEIND,RED,3,2,186.64
FACT,GREEN,5,0,32.82
FAGBEARING,GREEN,3,2,3838.88
FARMAXIND,NEAUTRAL,0,0,0.1
FCEL,null,0,0,0
FCL,RED,1,4,29.39
FCSSOFT,NEAUTRAL,1,0,0.31
FDC,RED,1,4,217.8
FEDDERLOYD,GREEN,2,3,72.13
FEDERALBNK,RED,3,2,75.34
FIEMIND,RED,2,3,1190.37
FILATEX,GREEN,2,3,74.52
FINANTECH,RED,1,3,64.07
FINCABLES,RED,1,4,412.95
FINPIPE,GREEN,3,2,449.75
FLEXITUFF,RED,3,2,189.38
FLFL,GREEN,4,1,155.73
FMGOETZE,RED,1,4,499.58
FMNL,GREEN,2,2,41.57
FORTIS,RED,1,4,188.86
FOSECOIND,RED,2,3,1336.05
FOURTHDIM,RED,1,4,196.83
FRL,null,0,0,0
FRLDVR,null,0,0,0
FSL,RED,1,4,38.38
GABRIEL,RED,0,5,110.58
GAEL,RED,3,2,92.96
GAIL,GREEN,2,3,449.36
GAL,GREEN,1,3,12.28
GALLANTT,RED,2,3,41.9
GALLISPAT,RED,0,5,488.16
GAMMNINFRA,RED,1,2,3.57
GAMMONIND,RED,0,3,12.42
GANDHITUBE,RED,3,2,313.88
GANECOS,GREEN,2,3,180.74
GANESHHOUC,RED,2,3,74.32
GARDENSILK,GREEN,2,3,31.45
GARWALLROP,GREEN,3,2,620.43
GATI,RED,1,4,121.17
GAYAPROJ,GREEN,3,2,648.45
GDL,RED,2,3,235.26
GEECEE,RED,0,4,142.15
GEINDSYS,RED,0,1,0.63
GEMINI,NEAUTRAL,1,1,1.81
GENESYS,RED,1,4,138.22
GENUSPAPER,RED,1,3,5.61
GENUSPOWER,RED,1,4,41.9
GEOJITBNPP,GREEN,2,3,36.6
GEOMETRIC,RED,1,4,257.73
GESHIP,RED,3,2,388.29
GHCL,RED,3,2,271.56
GICHSGFIN,RED,2,3,283.41
GILLANDERS,RED,2,3,67
GILLETTE,RED,2,3,4219.24
GINNIFILA,RED,2,3,26.87
GIPCL,GREEN,4,1,109.59
GIRRESORTS,RED,0,2,100.17
GISOLUTION,NEAUTRAL,0,0,0.69
GITANJALI,GREEN,3,2,68.46
