SYMBOL,DATE,HIGH,LOW,CLOSE,HIGH-LOW,CURR_HIGH-PREV_CLOSE,CURR_LOW-PREV_CLOSE,TRUE_RANGE,AVG_TRUE_RANGE
NTPC,19-DEC-2017,180.35,176.95,180.05,3.4,166.75,163.35,166.75,70.76
NTPC,20-DEC-2017,13.64,13.57,13.6,0.07,-166.41,-166.48,0.07,65.71
NTPC,20-DEC-2017,180.4,177.7,178.45,2.7,166.8,164.1,166.8,72.93
NTPC,21-DEC-2017,13.65,13.55,13.62,0.1,-164.8,-164.9,0.1,67.73
NTPC,21-DEC-2017,180.35,178.5,180.1,1.85,166.73,164.88,166.73,74.8
NTPC,22-DEC-2017,13.7,13.6,13.63,0.1,-166.4,-166.5,0.1,69.46
NTPC,22-DEC-2017,180.65,179.2,179.75,1.45,167.02,165.57,167.02,76.43
