SYMBOL,DATE,HIGH,LOW,CLOSE,HIGH-LOW,CURR_HIGH-PREV_CLOSE,CURR_LOW-PREV_CLOSE,TRUE_RANGE,AVG_TRUE_RANGE
BLUEDART,22-DEC-2017,10.42,10.42,10.42,0,-0.07,-0.07,0.0,0.21
BLUEDART,22-DEC-2017,10.5,10.42,10.5,0.08,0.08,0,0.08,0.2
