SYMBOL, LAST_TREND,LAST_3_UP_TREND_COUNT,LAST_3_DOWN_TREND_COUNT,LAST_5_UP_TREND_COUNT,LAST_5_DOWN_TREND_COUNT,LAST_10_UP_TREND_COUNT,LAST_10_DOWN_TREND_COUNT
TATACOFFEE,DOWN_TREND,0,3,0,5,0,10
TORNTPHARM,UP_TREND,3,0,5,0,10,0
MTEDUCARE,DOWN_TREND,0,3,0,5,0,10
HBLPOWER,UP_TREND,1,2,2,3,2,8
MARKSANS,DOWN_TREND,0,3,0,5,1,9
SINTEX,UP_TREND,1,2,1,4,1,9
BAJAJCORP,UP_TREND,3,0,5,0,10,0
RICOAUTO,DOWN_TREND,0,3,2,3,4,6
CORPBANK,DOWN_TREND,0,3,0,5,0,10
GAMMONIND,DOWN_TREND,1,2,2,3,3,7
TRIDENT,DOWN_TREND,2,1,3,2,7,3
USHAMART,DOWN_TREND,0,3,0,5,0,10
CANTABIL,UP_TREND,3,0,5,0,10,0
GRAVITA,UP_TREND,3,0,5,0,10,0
NFL,DOWN_TREND,0,3,0,5,2,8
ALEMBICLTD,UP_TREND,2,1,2,3,3,7
CROMPGREAV,UP_TREND,2,1,2,3,3,7
ICIL,UP_TREND,3,0,5,0,9,1
DBREALTY,UP_TREND,2,1,3,2,6,4
PRAJIND,DOWN_TREND,1,2,2,3,4,6
VIJAYABANK,DOWN_TREND,0,3,0,5,1,9
WELCORP,DOWN_TREND,0,3,0,5,0,10
DISHTV,DOWN_TREND,1,2,3,2,6,4
ALBK,DOWN_TREND,0,3,0,5,0,10
RPOWER,DOWN_TREND,0,3,2,3,6,4
TBZ,DOWN_TREND,2,1,4,1,9,1
UJAAS,DOWN_TREND,0,3,1,4,1,9
ORIENTBANK,UP_TREND,2,1,3,2,6,4
BURNPUR,DOWN_TREND,0,3,1,4,2,8
MANUGRAPH,DOWN_TREND,1,2,2,3,4,6
RAIN,DOWN_TREND,2,1,3,2,6,4
MIRZAINT,DOWN_TREND,0,3,0,5,2,8
DONEAR,DOWN_TREND,1,2,2,3,5,5
WELINV,UP_TREND,3,0,5,0,10,0
CAMLINFINE,UP_TREND,2,1,3,2,5,5
MEP,UP_TREND,3,0,5,0,10,0
TCIDEVELOP,UP_TREND,3,0,5,0,10,0
RUCHISOYA,DOWN_TREND,0,3,0,5,0,10
NETWORK18,DOWN_TREND,0,3,0,5,0,10
BPL,UP_TREND,1,2,2,3,4,6
ONMOBILE,UP_TREND,3,0,5,0,9,1
RADICO,DOWN_TREND,0,3,0,5,0,10
RMCL,UP_TREND,2,1,3,2,6,4
ALANKIT,UP_TREND,3,0,5,0,10,0
JKPAPER,DOWN_TREND,2,1,4,1,8,2
NCLIND,UP_TREND,1,2,2,3,2,8
GITANJALI,DOWN_TREND,1,2,3,2,6,4
GREAVESCOT,DOWN_TREND,0,3,2,3,4,6
GSPL,DOWN_TREND,0,3,0,5,0,10
PNCINFRA,UP_TREND,3,0,5,0,9,1
EIHOTEL,UP_TREND,1,2,3,2,6,4
BANKBARODA,DOWN_TREND,1,2,1,4,2,8
GMRINFRA,DOWN_TREND,0,3,0,5,1,9
RENUKA,DOWN_TREND,0,3,0,5,0,10
CHAMBLFERT,DOWN_TREND,2,1,4,1,8,2
NECLIFE,DOWN_TREND,0,3,0,5,2,8
SAIL,DOWN_TREND,0,3,1,4,2,8
ORICONENT,DOWN_TREND,0,3,0,5,0,10
SFCL,UP_TREND,3,0,5,0,10,0
PUNJLLOYD,DOWN_TREND,0,3,0,5,2,8
REPRO,UP_TREND,3,0,5,0,10,0
ADANIENT,DOWN_TREND,0,3,0,5,0,10
FEDDERLOYD,UP_TREND,2,1,2,3,2,8
ADLABS,DOWN_TREND,0,3,0,5,0,10
KOLTEPATIL,UP_TREND,3,0,5,0,10,0
TCIFINANCE,UP_TREND,3,0,5,0,10,0
CENTRALBK,DOWN_TREND,1,2,3,2,6,4
BALLARPUR,DOWN_TREND,2,1,3,2,6,4
NAHARPOLY,DOWN_TREND,2,1,4,1,8,2
INFOMEDIA,UP_TREND,3,0,5,0,10,0
FEDERALBNK,DOWN_TREND,0,3,1,4,3,7
GPIL,UP_TREND,1,2,1,4,2,8
BYKE,DOWN_TREND,1,2,2,3,4,6
JAGRAN,UP_TREND,3,0,5,0,10,0
SCI,UP_TREND,3,0,5,0,10,0
KCP,DOWN_TREND,0,3,0,5,0,10
PROZONINTU,DOWN_TREND,0,3,0,5,1,9
JUNIORBEES,UP_TREND,3,0,5,0,10,0
INOXWIND,DOWN_TREND,2,1,3,2,7,3
JISLJALEQS,DOWN_TREND,0,3,1,4,3,7
EDELWEISS,DOWN_TREND,1,2,1,4,4,6
