SYMBOL,PREDECTION,MAX_GREEN,MAX_RED,SMA
20MICRONS,RED,4,6,55.01
63MOONS,RED,2,6,103.91
A2ZINFRA,RED,2,7,38.64
AARVEEDEN,GREEN,3,7,46.16
ABAN,RED,2,7,174.02
ABFRL,RED,3,7,168.5
ABGSHIP,NEAUTRAL,3,6,13.19
ABMINTLTD,GREEN,2,5,35.05
ACE,RED,3,7,140.49
ADANIENT,RED,6,4,148.63
ADANIPOWER,RED,2,8,34.32
ADANITRANS,GREEN,5,4,173.41
ADHUNIKIND,GREEN,6,4,80.73
ADLABS,RED,3,7,67.39
ADSL,RED,5,5,25.61
ADVANIHOTR,GREEN,4,6,74.58
AFL,NEAUTRAL,0,0,8.05
AGCNET,RED,6,4,139.81
AGRITECH,RED,3,7,116.75
AGROPHOS,GREEN,6,3,30.65
AICHAMP,NEAUTRAL,0,2,18.12
AKASH,NEAUTRAL,1,1,37.11
AKSHOPTFBR,RED,1,8,31.54
ALANKIT,GREEN,5,4,50.28
ALBK,RED,4,5,73.91
ALCHEM,GREEN,4,5,14.35
ALEMBICLTD,RED,6,4,42.25
ALKALI,RED,3,7,74.05
ALLCARGO,RED,3,7,179.2
ALMONDZ,RED,1,9,30.65
ALPA,RED,2,8,33.47
AMDIND,RED,2,8,47.3
AMTEKAUTO,RED,3,7,25.86
ANANTRAJ,RED,2,8,59.56
ANDHRABANK,GREEN,3,7,60.69
ANDHRACEMT,GREEN,3,4,11.32
ANIKINDS,RED,1,8,51.04
ANSALAPI,RED,4,6,22.14
ANSALHSG,RED,2,8,22.71
ARCHIDPLY,RED,4,6,101.19
ARCHIES,RED,5,5,34.48
ARCOTECH,RED,3,7,54.55
ARIHANT,GREEN,6,3,47.83
AROGRANITE,RED,0,9,68.11
ARROWTEX,RED,2,8,45.8
ARSHIYA,GREEN,2,8,96.09
ARSSINFRA,RED,4,6,63.2
ARVSMART,GREEN,2,8,177.23
ASAL,RED,2,8,81.04
ASHAPURMIN,RED,2,7,91.85
ASHIANA,RED,0,10,169.94
ASHIMASYN,RED,2,8,30.77
ASHOKLEY,RED,4,6,115.08
ASIANHOTNR,GREEN,5,4,145.91
ASTRAMICRO,RED,4,6,112.05
ATLANTA,RED,3,7,101.9
ATLASCYCLE,RED,0,3,59.71
AURDIS,RED,0,2,19.64
AURIONPRO,RED,2,8,176.1
AUTOIND,RED,2,8,108.28
AUTOLITIND,RED,3,7,70.72
AVTNPL,RED,5,5,48.59
AXISCADES,RED,4,6,162.37
AYMSYNTEX,RED,1,9,59.23
BAFNAPHARM,NEAUTRAL,2,6,25.84
BAJAJHIND,RED,2,8,14.76
BALAJITELE,RED,3,7,156.16
BALKRISHNA,RED,5,5,73.47
BALLARPUR,RED,4,5,13.74
BALPHARMA,RED,3,7,96.25
BALRAMCHIN,RED,3,7,150.85
BANARBEADS,GREEN,3,7,63.92
BANG,GREEN,2,8,41.24
BANKBARODA,GREEN,3,7,166.94
BANKINDIA,RED,1,9,181.09
BANSWRAS,GREEN,5,5,136.96
BARTRONICS,RED,4,6,14.81
BEARDSELL,GREEN,6,4,63.96
BEDMUTHA,RED,7,3,28.68
BEL,RED,3,7,181.59
BEPL,NEAUTRAL,2,6,168.45
BGRENERGY,RED,2,8,130.08
BHARATGEAR,RED,3,7,184.94
BHARATWIRE,RED,2,8,111.12
BHEL,RED,3,6,90.74
BHUSANSTL,RED,0,10,65.47
BIGBLOC,GREEN,4,6,120.38
BINANIIND,RED,4,6,95.38
BINDALAGRO,RED,4,6,36.5
BIRLACABLE,RED,4,5,64.72
BIRLAMONEY,RED,3,7,77.4
BLISSGVS,GREEN,1,5,116.41
BLKASHYAP,RED,3,7,60.77
BLUEBLENDS,RED,2,8,29.88
BLUECOAST,NEAUTRAL,1,1,52.97
BLUEDART,NEAUTRAL,1,2,13.38
BODALCHEM,RED,3,7,166.27
BPL,RED,6,4,87.25
BRFL,RED,3,1,73.75
BROOKS,RED,2,8,104.62
BSL,GREEN,5,5,71.91
BSLNIFTY,GREEN,5,5,106.09
BURNPUR,RED,6,2,8.65
BVCL,RED,3,7,27.53
BYKE,RED,2,8,165.89
CALSOFT,NEAUTRAL,1,0,78.25
CAMLINFINE,RED,4,6,107.66
CANDC,RED,4,6,82.17
CANTABIL,GREEN,3,7,93.41
CAREERP,RED,1,9,129.99
CCHHL,RED,3,6,15.01
CEBBCO,GREEN,6,4,15.97
CELEBRITY,GREEN,4,6,15.52
CELESTIAL,RED,2,7,19.99
CENTRALBK,RED,2,7,77.12
CEREBRAINT,RED,0,10,40.59
CGCL,RED,2,8,117.91
CGPOWER,RED,4,6,85.02
CHAMBLFERT,RED,3,7,144.78
CIMMCO,GREEN,4,6,118.1
CINELINE,RED,1,9,89.66
CINEVISTA,RED,3,7,14.89
CNOVAPETRO,RED,2,8,42.45
COMPINFO,GREEN,4,6,43.62
COMPUSOFT,RED,2,7,13.66
CONSOFINVT,GREEN,5,5,64.28
CORDSCABLE,RED,1,9,124.99
CORPBANK,RED,0,8,41.26
CPSEETF,GREEN,5,5,29.29
CTE,GREEN,6,3,73.63
CUB,GREEN,3,7,178.63
CYBERTECH,RED,2,8,70.74
DAAWAT,GREEN,5,5,78.38
DALMIASUG,RED,1,9,141.37
DAMODARIND,RED,6,4,124.47
DATAMATICS,RED,4,6,128.94
DBREALTY,RED,2,8,35.7
DCBBANK,GREEN,7,3,186.33
DCM,RED,0,10,109.94
DCW,RED,2,8,40.02
DEN,RED,4,6,105.37
DENABANK,RED,2,8,24.43
DHANBANK,RED,0,10,31.35
DHARSUGAR,RED,1,9,29.88
DIAPOWER,RED,1,9,17.62
DIGJAMLTD,GREEN,2,7,17.29
DISHTV,RED,3,7,80.87
DLINKINDIA,GREEN,4,6,126.69
DOLPHINOFF,RED,3,7,117.36
DONEAR,RED,5,4,70.67
DPL,RED,5,5,137.06
DPSCLTD,GREEN,4,6,34.14
DQE,GREEN,4,6,19.19
DSKULKARNI,NEAUTRAL,4,4,22.97
DSSL,RED,5,5,38.3
DUCON,RED,3,7,42.07
DWARKESH,RED,1,9,57.78
EASUNREYRL,RED,2,8,21.63
EDL,RED,3,7,48.48
EIHOTEL,RED,1,9,145.36
EKC,RED,5,5,63.55
ELAND,RED,2,8,17.48
ELECON,GREEN,7,3,90.31
ELECTCAST,RED,2,8,32.39
ELECTHERM,GREEN,2,8,154.59
ELGIRUBCO,RED,3,6,48.48
EMCO,RED,3,6,19.54
ENERGYDEV,RED,2,8,23.89
ENGINERSIN,NEAUTRAL,5,4,185.17
EON,GREEN,3,6,115.24
EQUITAS,RED,5,5,139.09
EROSMEDIA,RED,0,3,59.17
ESSARSHPNG,GREEN,2,8,26.7
ESSDEE,GREEN,5,4,54.69
ESTER,RED,2,7,36.35
EUROTEXIND,RED,6,4,35.87
EXCEL,GREEN,3,7,106.19
FACT,RED,2,7,46.16
FCL,GREEN,3,7,43.98
FCONSUMER,RED,3,6,62.8
FEDERALBNK,RED,3,7,107.28
FEL,RED,2,7,50.89
FELDVR,RED,2,8,50.05
FLEXITUFF,RED,2,8,81.48
FMNL,RED,4,6,142.06
FORTIS,GREEN,5,5,140.41
FOURTHDIM,GREEN,8,2,84.55
FSL,RED,4,6,39.32
GABRIEL,GREEN,5,5,188.49
GAEL,RED,3,7,175.65
GALLANTT,NEAUTRAL,0,0,3.35
GALLISPAT,NEAUTRAL,0,0,18.34
GANESHHOUC,GREEN,3,7,131.78
GARDENSILK,GREEN,3,7,37.02
GATI,RED,2,8,133.07
GEECEE,GREEN,3,7,159.62
GENUSPAPER,RED,2,6,11.95
GENUSPOWER,GREEN,5,5,70.02
GEOJITFSL,GREEN,3,7,117.25
GILLANDERS,RED,3,7,84.43
GINNIFILA,GREEN,2,8,41.98
GIPCL,RED,3,7,130.7
GITANJALI,RED,1,9,74.63
GLOBALVECT,RED,3,7,167.3
GLOBOFFS,RED,1,8,34.33
GLOBUSSPR,RED,5,5,132.44
GMDCLTD,GREEN,3,7,159.63
GMRINFRA,RED,4,6,17.19
GOKEX,RED,1,9,114.09
GOKUL,RED,5,5,22.59
GOKULAGRO,RED,5,5,24.41
GOLDENTOBC,GREEN,3,0,30.1
GOLDIAM,RED,3,7,81.11
GOLDINFRA,RED,3,7,188.1
GOLDTECH,GREEN,1,0,2.13
GOODLUCK,RED,2,8,80.81
GPIL,RED,2,6,144.24
GPPL,RED,2,8,138.46
GPTINFRA,GREEN,3,7,188.14
GRANULES,GREEN,4,6,127.2
GRAVITA,RED,4,6,151.85
GREAVESCOT,GREEN,3,7,118.55
GRETEX,NEAUTRAL,1,0,6.67
GSCLCEMENT,RED,3,7,33.61
GSFC,RED,4,6,137.91
GSS,RED,4,6,26.21
GTL,RED,2,8,14.33
GTNIND,GREEN,3,7,17.93
GTNTEX,RED,4,5,22.54
GUFICBIO,GREEN,5,5,97.95
GULFPETRO,RED,3,7,80.38
GULPOLY,RED,1,8,79.6
GVKPIL,RED,3,7,15.47
HARRMALAYA,RED,2,8,97.37
HATHWAY,RED,4,6,41.14
HBLPOWER,RED,2,7,65.44
HBSTOCK,RED,2,7,39.09
HCC,RED,3,7,36.44
HDIL,RED,2,8,55.71
HEIDELBERG,RED,3,7,153.68
HERCULES,RED,3,7,144.49
HEXATRADEX,RED,5,3,37.97
HFCL,RED,4,6,28.91
HIGHGROUND,GREEN,6,1,17.57
HILTON,RED,2,8,39.72
HINDCOPPER,RED,4,6,90.86
HINDNATGLS,NEAUTRAL,4,5,153.21
HINDOILEXP,GREEN,4,6,130.5
HIRECT,RED,3,7,117.05
HISARMETAL,RED,4,6,100.3
HMT,RED,5,5,39.02
HOTELEELA,RED,1,8,19.75
HPL,RED,3,7,128.68
HSCL,RED,2,8,156.45
HTMEDIA,RED,2,8,97.67
HUBTOWN,RED,2,8,125.5
HUDCO,RED,1,9,78.85
HUSYSLTD,NEAUTRAL,0,0,4
IBREALEST,RED,0,1,19.79
ICIL,GREEN,3,7,112.97
IDBI,RED,1,9,59.19
IDEA,RED,4,6,94.32
IDFC,RED,1,7,58.9
IDFCBANK,RED,1,9,53.28
IDFNIFTYET,GREEN,3,3,71.66
IFCI,RED,3,7,23.64
IITL,GREEN,7,3,116.61
IL&FSENGG,NEAUTRAL,3,5,51.81
IL&FSTRANS,RED,0,10,76.74
INDBANK,RED,1,9,20.41
INDHOTEL,GREEN,4,6,120.8
INDIACEM,RED,2,8,168.08
INDIANCARD,RED,3,3,112.16
INDLMETER,RED,4,6,106.93
INDORAMA,RED,4,6,34.19
INDOTECH,RED,1,8,195.75
INDOTHAI,RED,4,6,61.2
INDRAMEDCO,GREEN,2,7,52.21
INDSWFTLAB,RED,3,7,37.96
INFIBEAM,RED,2,8,162.2
INOXWIND,GREEN,4,6,147.95
INTELLECT,RED,6,4,141.03
INTENTECH,RED,3,7,81.91
INVENTURE,RED,6,4,13.38
IOB,RED,2,6,23.09
IOLCP,RED,1,9,73.8
IRB,RED,0,1,19.52
ISMTLTD,GREEN,3,6,15.87
ITI,RED,1,9,134.82
IVC,GREEN,3,7,28.49
IVP,RED,1,9,190.3
IZMO,RED,3,7,65.45
J&KBANK,GREEN,3,7,74.98
JAGRAN,RED,5,5,165.96
JAGSNPHARM,GREEN,3,7,36.12
