SYMBOL,DATE,HIGH,LOW,CLOSE,HIGH-LOW,CURR_HIGH-PREV_CLOSE,CURR_LOW-PREV_CLOSE,TRUE_RANGE,AVG_TRUE_RANGE
NTPC,12-DEC-2017,177.85,174.9,175.9,2.95,164.28,161.33,164.28,71.67
NTPC,13-DEC-2017,13.65,13.55,13.57,0.1,-162.25,-162.35,0.1,66.56
NTPC,13-DEC-2017,177,175.35,176.05,1.65,163.43,161.78,163.43,73.48
NTPC,14-DEC-2017,13.65,13.55,13.62,0.1,-162.4,-162.5,0.1,68.24
NTPC,14-DEC-2017,177.9,173.55,177.3,4.35,164.28,159.93,164.28,75.1
NTPC,15-DEC-2017,13.65,13.56,13.61,0.09,-163.65,-163.74,0.09,69.74
NTPC,15-DEC-2017,178.6,176.1,177.45,2.5,164.99,162.49,164.99,76.54
